"","tau","aa","bb"
"1",0.01,-2.85939587114473,1.02533498909254
"2",0.02,-2.74171294652946,1.011056822906
"3",0.03,-2.60998086696225,0.994881481679972
"4",0.04,-2.59253239522015,0.998201820247444
"5",0.05,-2.42006716811337,0.954595565638289
"6",0.06,-2.45842703782627,0.972123872944292
"7",0.07,-2.60427021805394,1.02547771025161
"8",0.08,-2.58768153883056,1.02731303488978
"9",0.09,-2.55167202190281,1.02100825715325
"10",0.1,-2.59122383271436,1.03818399640788
"11",0.11,-2.61410587183961,1.04906324061412
"12",0.12,-2.50992740545128,1.02241582768801
"13",0.13,-2.53060194283873,1.03402903929132
"14",0.14,-2.49378112960136,1.02652257457212
"15",0.15,-2.51396740980766,1.03719812250897
"16",0.16,-2.55313310807785,1.05730318427965
"17",0.17,-2.57949794557676,1.07185411960314
"18",0.18,-2.54688306052921,1.06572191952519
"19",0.19,-2.5295514896377,1.06598967225356
"20",0.2,-2.4171747487704,1.0376987016102
"21",0.21,-2.33055009096898,1.01528743305533
"22",0.22,-2.29198773657761,1.0071069323442
"23",0.23,-2.25813333042322,1
"24",0.24,-2.28132638976496,1.01036609824862
"25",0.25,-2.30862165307672,1.02121281166808
"26",0.26,-2.28790262180611,1.01746842568147
"27",0.27,-2.25805996517334,1.01374495815247
"28",0.28,-2.16587347651679,0.989930641828967
"29",0.29,-2.0829165162729,0.969042757554554
"30",0.3,-2.15751405202832,0.997187314275236
"31",0.31,-2.22961518590548,1.02233299286382
"32",0.32,-2.18446326633199,1.01101384015565
"33",0.33,-2.14696805581717,1.00370006160021
"34",0.34,-2.07753974408562,0.986587538010728
"35",0.35,-1.99887519551124,0.965362576510205
"36",0.36,-2.11455666412498,1.00383582898883
"37",0.37,-2.11547322212642,1.00707324598367
"38",0.38,-2.06002735286056,0.994041248135924
"39",0.39,-2.04343587048534,0.991289660406063
"40",0.4,-1.97963532059827,0.974938815515592
"41",0.41,-1.96275782188692,0.973602115807855
"42",0.42,-1.8861340852203,0.954643899829565
"43",0.43,-1.90030623041088,0.962071246876978
"44",0.44,-1.96604482352696,0.986026571898844
"45",0.45,-1.99233294359924,0.996843666563717
"46",0.46,-1.95462981008618,0.988022990062434
"47",0.47,-2.03688600035703,1.01741032710159
"48",0.48,-2.04583804563823,1.02490093906069
"49",0.49,-2.03267109071215,1.02372777285942
"50",0.5,-2.00367256393788,1.01725057063801
"51",0.51,-1.99098877186618,1.01703080445252
"52",0.52,-1.97938400161326,1.01665857355168
"53",0.53,-1.93831788642718,1.00570616108473
"54",0.54,-1.95742541861531,1.01405901130972
"55",0.55,-2.02855508252223,1.0393784014201
"56",0.56,-2.03949802535265,1.04597329549294
"57",0.57,-1.96849512922678,1.02861647535572
"58",0.58,-1.93709450103637,1.02471617755005
"59",0.59,-1.89325345813174,1.01400877053485
"60",0.6,-1.90084695409281,1.01844575127711
"61",0.61,-1.80303000970738,0.993684696080857
"62",0.62,-1.82019797860585,1.00138967100122
"63",0.63,-1.83647436371937,1.00852972944272
"64",0.64,-1.82810526970253,1.00721198922705
"65",0.65,-1.82490999586314,1.00925083059541
"66",0.66,-1.85703287347566,1.02155545999224
"67",0.67,-1.85910079571884,1.02568255970228
"68",0.68,-1.9148929699523,1.04773442869058
"69",0.69,-1.84011884431537,1.02966756725691
"70",0.7,-1.81372680540474,1.02598821870304
"71",0.71,-1.73728822849929,1.0075971883581
"72",0.72,-1.68145065038044,0.993953412459486
"73",0.73,-1.62730773106658,0.980460017558
"74",0.74,-1.66674885031619,0.99569509978182
"75",0.75,-1.61251639452309,0.983591441582324
"76",0.76,-1.5371568860682,0.964313394708295
"77",0.77,-1.57913590124156,0.978975517107561
"78",0.78,-1.56008257215732,0.97681393324179
"79",0.79,-1.59458111451171,0.990134067904692
"80",0.8,-1.55656417530929,0.981823395798326
"81",0.81,-1.49641274758727,0.966260178828347
"82",0.82,-1.4781249095933,0.961942049360437
"83",0.83,-1.49311294749388,0.970264754379305
"84",0.84,-1.42302523501533,0.953273203960009
"85",0.85,-1.40725373913218,0.952357053715505
"86",0.86,-1.38707174616304,0.94893589948679
"87",0.87,-1.49379968136082,0.987984255360726
"88",0.88,-1.5721957485324,1.02318596389252
"89",0.89,-1.58698987666982,1.03208406139894
"90",0.9,-1.54370317287682,1.02499871762037
"91",0.91,-1.50569804855076,1.0176780081465
"92",0.92,-1.47509645923961,1.01997583852394
"93",0.93,-1.3524768202949,0.991987264594775
"94",0.94,-0.979197733104293,0.89101011246988
"95",0.95,-1.0584780633935,0.924360192023684
"96",0.96,-0.756781719633628,0.847801853779466
"97",0.97,-0.419373988966769,0.769783336855081
"98",0.98,-0.537289002691534,0.831144876067926
"99",0.99,-0.408684148755857,0.80980764266746
"100",1,-2.53871880204561,1.54294505988159
